RegionName,City,Metro,CountyName,GrowthRate2016,GrowthRate2017,GrowthRate2018,GrowthRate2019,GrowthRate2020,GrowthRate2021,GrowthRate2022
77840,College Station,"College Station-Bryan, TX",Brazos County,216.4679345,3.385577945,0.726860201,3.599365749,4.24437859,7.118947689,7.799844303
77803,Bryan,"College Station-Bryan, TX",Brazos County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77802,Bryan,"College Station-Bryan, TX",Brazos County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,544.3071509
77808,Bryan,"College Station-Bryan, TX",Brazos County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77801,Bryan,"College Station-Bryan, TX",Brazos County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77807,Bryan,"College Station-Bryan, TX",Brazos County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32907,Palm Bay,"Palm Bay-Melbourne-Titusville, FL",Brevard County,9.912388757,8.464196054,6.92120834,5.171350097,5.959441712,4.730665022,27.52332918
32940,Melbourne,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,309.4211564,5.430627687,-5.714937013,13.19189086,14.01109647,16.86551668
32955,Rockledge,"Palm Bay-Melbourne-Titusville, FL",Brevard County,6.586835037,6.332087504,6.654725527,4.874680519,2.484924178,14.36847152,16.43587658
32935,Melbourne,"Palm Bay-Melbourne-Titusville, FL",Brevard County,1154.418067,8.174190583,8.387980855,5.15396549,6.005868748,13.17467166,18.81915331
32780,Titusville,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,341.6819
32904,Melbourne,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,226.5953834
32909,Palm Bay,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,31.67698541,7.171134108,5.741476433,4.221336032,16.64440791,17.75197963
32937,Satellite Beach,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,314.2964025
32927,Cocoa,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32901,Melbourne,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,37.94970758
32953,Merritt Island,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32926,Cocoa,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32905,Palm Bay,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,411.9218704,39.39724599,17.16747862
32952,Merritt Island,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32796,Titusville,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32934,Melbourne,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32922,Cocoa,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32931,Cocoa Beach,"Palm Bay-Melbourne-Titusville, FL",Brevard County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1232.779238
