CountyName,GrowthRate,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
Alameda County,51.81451356,-0.870646766,-6.666666667,50,5.208333333,0,-4.268292683
Alameda County,54.21354749,-2.620087336,-3.982300885,33.33333333,12.32876712,0,-0.858369099
Alameda County,56.16688007,-1.587301587,-3.409090909,25,2.150537634,-12.5,-2.4
Alameda County,85.24236635,-10.2006689,10.9375,10,9.649122807,-25,14.76510067
Alameda County,197.8151365,-6.772908367,-7.142857143,20,-4.225352113,-33.33333333,8.808290155
Alameda County,302.9503501,-5.118110236,14.70588235,20,3.168316832,0,-2.551020408
Alameda County,313.4042418,-5.154639175,10.52631579,0,14.13612565,50,-6.837606838
Alameda County,314.9224052,-0.224215247,-13.55932203,50,16.37931034,33.33333333,-1.136363636
Alameda County,486.8041101,-2.819956616,-13.46153846,-33.33333333,-1.089918256,-10,5.691056911
Alameda County,494.0274192,0.866551127,5.982905983,0,-5.421686747,0,0.81300813
Alameda County,513.7229035,0.288600289,-11.36363636,50,-5.185185185,-50,2.222222222
Alameda County,1119.893288,0,-15.15151515,33.33333333,1.870503597,0,-8.139534884
Alameda County,1133.269141,-8.23798627,31.57894737,25,0.448430493,300,20.65217391
Alameda County,1137.209924,-17.06586826,0,10,14.46280992,10.52631579,-8.368200837
Albany County,6.835907798,0.292397661,4.379562044,0,6.097560976,0,-14.08450704
Albany County,7.535490395,0.728862974,-7.692307692,100,4.597701149,0,0
Albany County,9.721947592,-7.292954265,12.6984127,-33.33333333,27.77777778,0,1.785714286
Albany County,506.7050289,-2.419354839,11.82795699,0,0,0,12
Albany County,1127.694777,-5.524861878,34.31372549,0,-13.68421053,0,16.39344262
Albany County,1218.361807,-1.100244499,5,-25,0,0,9.803921569
Albemarle County,2.850136976,-0.256410256,-10.44776119,-25,3.636363636,0,-8.196721311
Albemarle County,3.668427027,0.657030223,-13.125,200,19.44444444,-100,6.818181818
Albemarle County,4.042594147,1.265822785,-1.333333333,100,-4.901960784,0,36.58536585
Albemarle County,4.400303907,-2.564102564,10.71428571,25,12.5,0,-10.90909091
Albemarle County,4.464568479,-1.944444444,4.72972973,0,-6.18556701,0,7.142857143
Albemarle County,5.146227791,0.131578947,3.225806452,-60,0,0,-10.20408163
Albemarle County,5.487599306,2.155172414,-7.407407407,-50,2,0,2.5
Albemarle County,5.617779899,-0.854700855,3.846153846,-33.33333333,4.166666667,-100,14.28571429
Albemarle County,6.511778986,-0.141643059,-2.580645161,0,0,0,-3.333333333
Albemarle County,6.985965368,0.261096606,-7.194244604,-33.33333333,-4.651162791,0,-8.510638298
Albemarle County,8.889036211,-2.127659574,-3.973509934,-50,3.296703297,0,3.448275862
Albemarle County,9.665747984,-1.413881748,-5,-33.33333333,3.50877193,-100,25
Albemarle County,10.56652648,-1.434159061,5.263157895,-50,-13.55932203,0,4.285714286
Albemarle County,12.93500662,-0.510204082,-4.285714286,100,17.0212766,0,-7.575757576
Albemarle County,13.63597802,-1.692708333,3.100775194,-50,4.87804878,0,0
Albemarle County,15.3008546,0.717360115,-6.586826347,50,1.052631579,0,-2.777777778
Alexandria City,-0.463063259,-4.222648752,4.72972973,0,11.25,0,-8.43373494
Alexandria City,-0.217968548,6.082289803,-12.12121212,0,5.882352941,0,-0.611620795
Alexandria City,0.756107473,-0.131752306,-9.929078014,150,-20.93023256,0,-3.797468354
Alexandria City,1.368077568,-3.298153034,14.17322835,-40,5.882352941,0,-1.315789474
Alexandria City,1.701559596,-6.613226453,2.258064516,0,-4.494382022,-100,3.947368421
Alexandria City,3.006990473,-2.375296912,13.46153846,-50,-5.714285714,-66.66666667,6.896551724
Alexandria City,7.412349148,-3.137789905,0,0,25,0,9.333333333
Alexandria City,8.596399178,-3.004291845,-3.785488959,300,-4.705882353,0,9.493670886
Alexandria City,9.315259779,-9.253246753,25,-100,-3.773584906,0,-3.823529412
Alexandria City,9.381308062,-5.902192243,1.379310345,-100,-16.66666667,0,-6.461538462
Alexandria City,10.04634848,-2.554744526,22.03389831,-100,-3.03030303,0,-26.88172043
Alexandria City,10.07963942,-2.658959538,8.333333333,100,12.90322581,200,7.407407407
Alexandria City,31.59760362,-7.788944724,2.416918429,0,1.063829787,0,-6.8
Alexandria City,476.5529423,0,0,0,24,0,-16.49484536
Alexandria City,508.2947751,0.131926121,0.714285714,0,-10.41666667,0,9.722222222
Alexandria City,512.2034253,-0.572519084,3.135888502,0,-3.614457831,-100,-2.923976608
Allegan County,4.401312682,-2.485207101,35.29411765,-20,-8,0,-8.121827411
Allegan County,10.65570066,-3.155339806,6.52173913,75,0,0,7.73480663
Allegan County,11.35307835,-1.127819549,-6.12244898,14.28571429,17.39130435,0,-2.051282051
Allegan County,106.3111131,-0.236127509,0,25,-13.79310345,-100,2.604166667
Allegheny County,1.486122939,-3.240740741,31.70731707,0,40,0,-2.631578947
Allegheny County,1.66036218,-3.614457831,6.130268199,200,-5,-100,14.28571429
Allegheny County,1.793222521,6.500956023,-10,0,1.818181818,0,37.5
Allegheny County,2.136528845,-1.915708812,17.64705882,-66.66666667,4.666666667,0,-16.27906977
Allegheny County,2.822132165,-3.03030303,49.09090909,-100,5.263157895,0,11.76470588
Allegheny County,2.829593875,-0.401606426,-2.721088435,0,0,0,42.85714286
Allegheny County,2.900083622,0.538599641,-2.631578947,0,3.571428571,0,2.272727273
Allegheny County,2.940086701,-2.18579235,19.60784314,-33.33333333,-8.235294118,0,-8.620689655
